date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:56	57113/57113	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:40:00%20GMT	https://pixner.net/sbidu/main/product.html	E:/bidding%20app/pixner.net/sbidu/main/product.html	(from )
11:47:57	714/714	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Apr%202025%2006:17:57%20GMT	https://pixner.net/robots.txt		(from )
11:47:59	232948/232948	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jan%202024%2009:40:38%20GMT	https://pixner.net/sbidu/main/assets/css/bootstrap.min.css	E:/bidding%20app/pixner.net/sbidu/main/assets/css/bootstrap.min.css	(from https://pixner.net/sbidu/main/product.html)
11:47:59	57180/57180	---MCZ	200	added ('OK')	text/css	date:Tue,%2021%20Apr%202020%2017:40:10%20GMT	https://pixner.net/sbidu/main/assets/css/all.min.css	E:/bidding%20app/pixner.net/sbidu/main/assets/css/all.min.css	(from https://pixner.net/sbidu/main/product.html)
11:47:59	65186/65186	---MCZ	200	added ('OK')	text/css	date:Tue,%2002%20Jun%202020%2008:04:32%20GMT	https://pixner.net/sbidu/main/assets/css/animate.css	E:/bidding%20app/pixner.net/sbidu/main/assets/css/animate.css	(from https://pixner.net/sbidu/main/product.html)
11:48:00	4093/4093	---MCZ	200	added ('OK')	text/css	date:Tue,%2021%20Apr%202020%2017:40:10%20GMT	https://pixner.net/sbidu/main/assets/css/nice-select.css	E:/bidding%20app/pixner.net/sbidu/main/assets/css/nice-select.css	(from https://pixner.net/sbidu/main/product.html)
11:48:00	4365/4365	---MCZ	200	added ('OK')	text/css	date:Tue,%2021%20Apr%202020%2017:40:10%20GMT	https://pixner.net/sbidu/main/assets/css/owl.min.css	E:/bidding%20app/pixner.net/sbidu/main/assets/css/owl.min.css	(from https://pixner.net/sbidu/main/product.html)
11:48:01	6836/6836	---MCZ	200	added ('OK')	text/css	date:Tue,%2021%20Apr%202020%2017:40:10%20GMT	https://pixner.net/sbidu/main/assets/css/magnific-popup.css	E:/bidding%20app/pixner.net/sbidu/main/assets/css/magnific-popup.css	(from https://pixner.net/sbidu/main/product.html)
11:48:01	1776/1776	---MCZ	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202020%2007:27:12%20GMT	https://pixner.net/sbidu/main/assets/css/flaticon.css	E:/bidding%20app/pixner.net/sbidu/main/assets/css/flaticon.css	(from https://pixner.net/sbidu/main/product.html)
11:48:02	30753/30753	---MCZ	200	added ('OK')	text/css	date:Tue,%2021%20Apr%202020%2017:40:10%20GMT	https://pixner.net/sbidu/main/assets/css/jquery-ui.min.css	E:/bidding%20app/pixner.net/sbidu/main/assets/css/jquery-ui.min.css	(from https://pixner.net/sbidu/main/product.html)
11:48:02	26053/26053	---MCZ	200	added ('OK')	text/css	date:Tue,%2026%20Dec%202023%2009:27:58%20GMT	https://pixner.net/sbidu/main/assets/css/aos.css	E:/bidding%20app/pixner.net/sbidu/main/assets/css/aos.css	(from https://pixner.net/sbidu/main/product.html)
11:48:02	156796/156796	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Jan%202024%2008:18:42%20GMT	https://pixner.net/sbidu/main/assets/css/main.css	E:/bidding%20app/pixner.net/sbidu/main/assets/css/main.css	(from https://pixner.net/sbidu/main/product.html)
11:48:03	3810/3810	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Sep%202020%2005:17:54%20GMT	https://pixner.net/sbidu/main/assets/images/favicon.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/favicon.png	(from https://pixner.net/sbidu/main/product.html)
11:48:03	26731/26731	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:37:08%20GMT	https://pixner.net/sbidu/main/sign-in.html	E:/bidding%20app/pixner.net/sbidu/main/sign-in.html	(from https://pixner.net/sbidu/main/product.html)
11:48:04	125257/125257	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:37:08%20GMT	https://pixner.net/sbidu/main/index.html	E:/bidding%20app/pixner.net/sbidu/main/index.html	(from https://pixner.net/sbidu/main/product.html)
11:48:04	5047/5047	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Sep%202020%2004:42:12%20GMT	https://pixner.net/sbidu/main/assets/images/logo/logo.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/logo/logo.png	(from https://pixner.net/sbidu/main/product.html)
11:48:05	79656/79656	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:37:08%20GMT	https://pixner.net/sbidu/main/index-2.html	E:/bidding%20app/pixner.net/sbidu/main/index-2.html	(from https://pixner.net/sbidu/main/product.html)
11:48:05	77473/77473	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:37:08%20GMT	https://pixner.net/sbidu/main/index-3.html	E:/bidding%20app/pixner.net/sbidu/main/index-3.html	(from https://pixner.net/sbidu/main/product.html)
11:48:06	64361/64361	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:39:42%20GMT	https://pixner.net/sbidu/main/index-4.html	E:/bidding%20app/pixner.net/sbidu/main/index-4.html	(from https://pixner.net/sbidu/main/product.html)
11:48:06	62661/62661	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:37:08%20GMT	https://pixner.net/sbidu/main/index-5.html	E:/bidding%20app/pixner.net/sbidu/main/index-5.html	(from https://pixner.net/sbidu/main/product.html)
